kategori,jenis_id,kode_produk,nama_produk,harga
E-Money,123,DANA1,Dana 1.000,1650
E-Money,123,DANA2,Dana 2.000,2650
E-Money,123,DANA3,Dana 3.000,3650
E-Money,123,DANA4,Dana 4.000,4650
E-Money,123,DANA5000,Dana 5.000,5209
E-Money,123,DANA6,Dana 6.000,6650
E-Money,123,DANA7,Dana 7.000,7650
E-Money,123,DANA8,Dana 8.000,8650
E-Money,123,DANA9,Dana 9.000,9650
E-Money,123,DANA10,Dana 10.000,10209
E-Money,123,DANA11,Dana 11.000,11650
E-Money,123,DANA12,Dana 12.000,12650
E-Money,123,DANA13,Dana 13.000,13650
E-Money,123,DANA14,Dana 14.000,14650
E-Money,123,DANA15,Dana 15.000,15209
E-Money,123,DANA16,Dana 16.000,16650
E-Money,123,DANA17,Dana 17.000,17650
E-Money,123,DANA18,Dana 18.000,18650
E-Money,123,DANA19,Dana 19.000,19650
E-Money,123,DANA20,Dana 20.000,20209
E-Money,123,DANA25,Dana 25.000,25209
E-Money,123,DANA30,Dana 30.000,30209
E-Money,123,DANA35,Dana 35.000,35209
E-Money,123,DANA40,Dana 40.000,40209
E-Money,123,DANA45,Dana 45.000,45209
E-Money,123,DANA50,Dana 50.000,50209
E-Money,123,DANA55,Dana 55.000,55209
E-Money,123,DANA60,Dana 60.000,60209
E-Money,123,DANA65,Dana 65.000,65209
E-Money,123,DANA70,Dana 70.000,70209
E-Money,123,DANA75,Dana 75.000,75209
E-Money,123,DANA80,Dana 80.000,80209
E-Money,123,DANA85,Dana 85.000,85209
E-Money,123,DANA90,Dana 90.000,90209
E-Money,123,DANA95,Dana 95.000,95209
E-Money,123,DANA100,Dana 100.000,100259
E-Money,123,DANA105,Dana 105.000,105259
E-Money,123,DANA110,Dana 110.000,110259
E-Money,123,DANA120,Dana 120.000,120259
E-Money,123,EDANA125,Dana 125.000,125259
E-Money,123,DANA130,Dana 130.000,130259
E-Money,123,DANA135,Dana 135.000,135259
E-Money,123,DANA140,Dana 140.000,140259
E-Money,123,DANA145,Dana 145.000,145259
E-Money,123,DANA150,Dana 150.000,150259
E-Money,123,DANA155,Dana 155.000,155259
E-Money,123,DANA160,Dana 160.000,160259
E-Money,123,DANA165,Dana 165.000,165259
E-Money,123,DANA170,Dana 170.000,170259
E-Money,123,EDANA175,Dana 175.000,175259
E-Money,123,DANA180,Dana 180.000,180259
E-Money,123,DANA185,Dana 185.000,185259
E-Money,123,DANA190,Dana 190.000,190259
E-Money,123,DANA195,Dana 195.000,195259
E-Money,123,DANA200,Dana 200.000,200259
E-Money,123,DANA205,Dana 205.000,205259
E-Money,123,DANA210,Dana 210.000,210259
E-Money,123,DANA215,Dana 215.000,215259
E-Money,123,DANA220,Dana 220.000,220259
E-Money,123,DANA225,Dana 225.000,225259
E-Money,123,DANA230,Dana 230.000,230259
E-Money,123,DANA235,Dana 235.000,235259
E-Money,123,DANA240,Dana 240.000,240259
E-Money,123,DANA245,Dana 245.000,245259
E-Money,123,DANA250,Dana 250.000,250259
E-Money,123,DANA255,Dana 255.000,255259
E-Money,123,DANA260,Dana 260.000,260289
E-Money,123,DANA265,Dana 265.000,265259
E-Money,123,DANA270,Dana 270.000,270259
E-Money,123,DANA275,Dana 275.000,275259
E-Money,123,DANA280,Dana 280.000,280259
E-Money,123,DANA285,Dana 285.000,285259
E-Money,123,DANA290,Dana 290.000,290289
E-Money,123,DANA295,Dana 295.000,295289
E-Money,123,DANA300,Dana 300.000,300309
E-Money,123,DANA305,Dana 305.000,305339
E-Money,123,DANA310,Dana 310.000,310339
E-Money,123,DANA315,Dana 315.000,315339
E-Money,123,DANA320,Dana 320.000,320339
E-Money,123,DANA325,Dana 325.000,325309
E-Money,123,DANA330,Dana 330.000,330339
E-Money,123,DANA335,Dana 335.000,335309
E-Money,123,DANA340,Dana 340.000,340339
E-Money,123,DANA345,Dana 345.000,345339
E-Money,123,DANA355,Dana 355.000,355339
E-Money,123,DANA360,Dana 360.000,360309
E-Money,123,DANA365,Dana 365.000,365339
E-Money,123,DANA370,Dana 370.000,370309
E-Money,123,DANA375,Dana 375.000,375309
E-Money,123,DANA380,Dana 380.000,380309
E-Money,123,DANA385,Dana 385.000,385339
E-Money,123,DANA390,Dana 390.000,390309
E-Money,123,DANA395,Dana 395.000,395339
E-Money,123,DANA400,Dana 400.000,400309
E-Money,123,DANA405,Dana 405.000,405339
E-Money,123,DANA410,Dana 410.000,410309
E-Money,123,DANA415,Dana 415.000,415339
E-Money,123,DANA420,Dana 420.000,420309
E-Money,123,DANA425,Dana 425.000,425330
E-Money,123,DANA430,Dana 430.000,430309
E-Money,123,DANA435,Dana 435.000,435330
E-Money,123,DANA440,Dana 440.000,440330
E-Money,123,DANA445,Dana 445.000,445309
E-Money,123,DANA455,Dana 455.000,455309
E-Money,123,DANA460,Dana 460.000,460309
E-Money,123,DANA465,Dana 465.000,465309
E-Money,123,DANA470,Dana 470.000,470309
E-Money,123,DANA475,Dana 475.000,475339
E-Money,123,DANA480,Dana 480.000,480309
E-Money,123,DANA485,Dana 485.000,485339
E-Money,123,DANA490,Dana 490.000,490309
E-Money,123,DANA495,Dana 495.000,495339
E-Money,123,DANA500,Dana 500.000,500409
E-Money,124,OVO10,OVO 10.000,10730
E-Money,124,OVO15,OVO 15.000,15753
E-Money,124,OVO20,OVO 20.000,20753
E-Money,124,OVO25,OVO 25.000,25753
E-Money,124,OVO30,OVO 30.000,30753
E-Money,124,OVO35,OVO 35.000,35753
E-Money,124,OVO40,OVO 40.000,40753
E-Money,124,OVO45,OVO 45.000,45753
E-Money,124,OVO50,OVO 50.000,50753
E-Money,124,OVO55,OVO 55.000,55753
E-Money,124,OVO60,OVO 60.000,60753
E-Money,124,OVO65,OVO 65.000,65753
E-Money,124,OVO70,OVO 70.000,70753
E-Money,124,OVO75,OVO 75.000,75753
E-Money,124,OVO80,OVO 80.000,80753
E-Money,124,OVO85,OVO 85.000,85753
E-Money,124,OVO90,OVO 90.000,90753
E-Money,124,OVO95,OVO 95.000,95730
E-Money,124,OVO100,OVO 100.000,100730
E-Money,124,OVO150,OVO 150.000,150730
E-Money,124,OVO200,OVO 200.000,200730
E-Money,124,OVO250,OVO 250.000,250730
E-Money,124,OVO300,OVO 300.000,300730
E-Money,124,OVO400,OVO 400.000,400730
E-Money,124,OVO500,OVO 500.000,500730
E-Money,125,GOPAY10,Customer 10.000,10940
E-Money,125,GOPAY15,Customer 15.000,15940
E-Money,125,GOPAY20,Customer 20.000,20940
E-Money,125,GOPAY25,Customer 25.000,25940
E-Money,125,GOPAY30,Customer 30.000,30940
E-Money,125,GOPAY35,Customer 35.000,35940
E-Money,125,GOPAY40,Customer 40.000,40940
E-Money,125,GOPAY45,Customer 45.000,45940
E-Money,125,GOPAY50,Customer 50.000,50940
E-Money,125,GOPAY55,Customer 55.000,55940
E-Money,125,GOPAY60,Customer 60.000,60940
E-Money,125,GOPAY65,Customer 65.000,65940
E-Money,125,GOPAY70,Customer 70.000,70940
E-Money,125,GOPAY75,Customer 75.000,75940
E-Money,125,GOPAY80,Customer 80.000,80940
E-Money,125,GOPAY85,Customer 85.000,85940
E-Money,125,GOPAY90,Customer 90.000,90940
E-Money,125,GOPAY95,Customer 95.000,95940
E-Money,125,GOPAY100,Customer 100.000,100940
E-Money,125,GOPAY150,Customer 150.000,150940
E-Money,125,GOPAY200,Customer 200.000,200940
E-Money,125,GOPAY250,Customer 250.000,250940
E-Money,125,GOPAY300,Customer 300.000,300940
E-Money,125,GOPAY350,Customer 350.000,350940
E-Money,125,GOPAY400,Customer 400.000,400940
E-Money,125,GOPAY450,Customer 450.000,450940
E-Money,125,GOPAY500,Customer 500.000,500940
E-Money,125,GOPAY1000,Customer 1.000.000,1000980
E-Money,128,HSHOP10,Shopee 10.000,10200
E-Money,128,HSHOP15,Shopee 15.000,15200
E-Money,128,HSHOP20,Shopee 20.000,20200
E-Money,128,HSHOP25,Shopee 25.000,25200
E-Money,128,HSHOP30,Shopee 30.000,30200
E-Money,128,HSHOP35,Shopee 35.000,35200
E-Money,128,HSHOP40,Shopee 40.000,40200
E-Money,128,HSHOP45,Shopee 45.000,45200
E-Money,128,HSHOP50,Shopee 50.000,50200
E-Money,128,HSHOP55,Shopee 55.000,55200
E-Money,128,HSHOP60,Shopee 60.000,60200
E-Money,128,HSHOP65,Shopee 65.000,65200
E-Money,128,HSHOP70,Shopee 70.000,70200
E-Money,128,HSHOP75,Shopee 75.000,75200
E-Money,128,HSHOP80,Shopee 80.000,80200
E-Money,128,HSHOP85,Shopee 85.000,85200
E-Money,128,HSHOP90,Shopee 90.000,90200
E-Money,128,HSHOP95,Shopee 95.000,95200
E-Money,128,HSHOP100,Shopee 100.000,100200
E-Money,128,HSHOP150,Shopee 150.000,150200
E-Money,128,HSHOP200,Shopee 200.000,200200
E-Money,128,HSHOP250,Shopee 250.000,250200
E-Money,128,HSHOP300,Shopee 300.000,300200
E-Money,128,HSHOP350,Shopee 350.000,350250
E-Money,128,HSHOP400,Shopee 400.000,400250
E-Money,128,HSHOP450,Shopee 450.000,450250
E-Money,128,HSHOP500,Shopee 500.000,500250
